,norm_vec_canc,s_vec_canc,norm_vec_LB,s_vec_LB
b.CATENIN,0.13130367337500468,-0.010723283938820325,0.04688440703458557,0.006244366648105012
cleavedCas,-0.32921551625796963,-0.35642491239925944,-0.01982499005387484,-0.001486449867811335
CyclinB,-0.1625066347022332,-0.26768697017877585,0.11915538895379833,0.24030686076923524
GAPDH,0.15532899832349562,0.0031485824424496403,0.05762576899584282,0.09854251501936422
IdU,-0.03805689471204629,-0.10697962522380619,0.2143103403111949,0.25511181211191636
Ki.67,-0.09093048036215574,-0.16905573770534843,0.23927370490205882,0.32132275774838437
p.4EBP1,0.042199125012377284,0.07399358150620437,-0.042644109885487204,-0.0529871142030913
p.Akt.Ser473.,-0.18719450951549102,0.010184838260395441,-0.057787435667449344,0.23424181517459522
p.AKT.Thr308.,-0.08704990455110384,-0.08610971609484958,0.24145712544991485,-0.010454125253215187
p.AMPK,-0.02134435226948395,-0.12155111209412235,-0.060952076151169106,0.1483799655638222
p.BTK,0.14954122651155427,-0.012602465075340517,-0.40490090598301254,-0.016250758052148574
p.CREB,0.23904799271170152,0.1752441194416723,0.228876019318045,0.02706957210359419
p.ERK,0.06454985982132448,-0.058621396783090536,0.03644927316041634,0.13750149346214713
p.FAK,-0.003315522630437647,0.05189025068361373,0.1328870159298243,0.12856141137007843
p.GSK3b,0.43272673796505,0.38319532322025457,-0.03553612155069792,0.07546681664243135
p.H3,-0.2257523486916861,-0.12081004951827434,-0.09145435612923507,-0.04307638460135311
p.HER2,-0.10683328174007395,-0.29262261084447716,0.07939454073944381,0.08673754304597994
p.JNK,-0.07768751425463832,-0.07962791751492487,0.05583290654129906,0.013781263413515562
p.MAP2K3,-0.03737217680082063,-0.013918327132005907,-0.2084797331184706,0.029735301317322084
p.MAPKAPK2,-0.04200027346838969,0.07329389502490301,-0.1370524568994547,0.027615229508358752
p.MEK,-0.3146784708957002,-0.17282128274276112,-0.10444056985749801,-0.0440271634682053
p.MKK3.MKK6,-0.1353009395700939,-0.23963608071055792,0.21526819342059056,0.24856033262852711
p.MKK4,-0.1279923656393609,-0.21113406371486737,0.19617723509592988,0.1711541978958557
p.NFkB,-0.13461639583742754,0.015127077656215246,0.17977701745451743,0.12237196459073245
p.p38,0.0867946460049002,0.008892866065888983,-0.00028173710709638965,0.27208327239076135
p.p53,0.126545848384616,0.23180255394060523,-0.025770662067861893,-0.027027147082335484
p.p90RSK,0.19436848788647806,0.11159583787755302,-0.18029755808102213,0.06879492678433763
p.PDPK1,-0.10984318727072964,-0.21466741855292476,-0.15916144117466713,0.017093185720305066
p.PLCg2,0.08398353439597551,0.06185075204404618,0.029844686945445113,0.2494720955615608
p.RB,0.1183826734744679,-0.33897876277588984,-0.1729771008619673,-0.23479326629748218
p.S6,0.0407937701510131,-0.15660636555168683,0.005537012698085575,0.25082748519499043
p.S6K,-0.12365479217382844,-0.09439481044769624,-0.050428422197175075,0.03226809583698006
p.SMAD23,-0.058930260483066384,-0.16490556432791525,0.39974672056525246,0.04612489675592828
p.SRC,-0.2402717586062177,0.01670975959858285,-0.09028805690229388,0.16688798982345357
p.STAT1,-0.12695951604199593,-0.06775598341085588,0.11552193104948238,0.1579219111167618
p.STAT3,0.20718848949930255,0.07815411997243017,0.2934972531917224,0.44897767107140113
p.STAT5,-0.20799668248447747,0.05132699579302726,-0.07446733342844411,0.07370185989094213
