Unnamed: 0,Norm_Canc_mod,Canc_STV_mod,Norm_LB_mod,LB_STV_mod
p-CREB,-0.5204995123728434,0.17128150842690756,0.04511613387761472,-0.013892915697643346
p-STAT5,0.3920123600489321,0.05612856570571906,-0.1524683911468945,-0.002855934939900049
p-SRC,0.14488573203009544,0.04184163035963285,-0.007688078950150877,0.0660071909880199
p-FAK,-0.25165440510037557,0.16287736639085149,0.0674858553289935,0.1600668703214441
p-MAPKAPK-2,-0.07123869296070912,0.15419344249399755,0.061348326892892484,0.13297029533429064
p-S6K,0.08634068059502495,0.03440108177768016,0.038117405482675545,-0.02046602361246176
p-MAP2K3,-0.027816521634529176,0.06125894426026111,-0.29443488173316784,-0.01469730657087975
p-p53,0.042404363338688696,0.15675924145056438,0.0239026808477506,-0.006713026642533489
p-p38,-0.16491009327026396,0.04799333172007408,0.4055599836840605,0.17094845769793282
Cyclin B1,0.3059176831836526,-0.44850264494805747,0.12509819087209625,0.4028535988584974
GAPDH,-0.2711705791584628,0.34532716788177875,-0.039949785027977226,-0.05154737432411361
p-MKK3-MKK6,0.1294249658273526,-0.3335015366852605,0.05209628224626988,0.552124779024493
p-PDPK1,-0.047111190095241146,0.0012212667609659551,-0.22148668813079433,-0.06693603672800218
p-BTK,-0.0384952263784464,0.0042826064766534385,-0.5148382846848782,-0.011407519843801568
β-CATENIN,-0.3789556533976277,0.060883011280529885,-0.3540866495146905,-0.05056994267346
p-SAPK/JNK,0.20356680665595417,-0.0375978775671969,0.4479931334384551,-0.017415932112527382
Ki-67,-0.01914899273446979,0.09444369879473037,0.0883600706246856,0.293094688415724
cleaved PARP,0.17390656865694568,-0.046184329788289215,-0.21154094932113146,0.034779496553409985
p-RB,-0.08212047570261402,0.0025987699536223975,-0.01676444638011232,-0.5888384913352509
p-4EBP1,-0.19701724931527922,0.6601633572092119,-0.012573081027937248,-0.10549913513954473
