,DPD_canc,DPD_LB
_e153_UACC3199_A_full_full_singlets_full.fcs.fcs,1.025894811043838,0.23532526276911567
_e244_UACC3199_B_full_full_singlets_full.fcs.fcs,1.959645137381227,0.3634503541906004
_e269_184A1_A_full_full_singlets_full.fcs.fcs,-1.418583995739084,1.7852198886379973
_e360_184A1_B_full_full_singlets_full.fcs.fcs,-1.3084697342975755,1.905145696829645
_b994_HCC1428_A_full_full_singlets_full.fcs.fcs,3.8156029383538876,-2.9501732039297908
_c244_AU565_B_full_full_singlets_full.fcs.fcs,2.7675075927920534,-0.32521392825445017
_c331_HCC1428_B_full_full_singlets_full.fcs.fcs,4.561834505864562,-3.1867108041136567
_c8_AU565_A_full_full_singlets_full.fcs.fcs,4.150623795079746,-0.31381688871662167
_c736_HCC202_A_full_full_singlets_full.fcs.fcs,1.933001590753197,-0.9774876028172854
_d12_HCC202_B_full_full_singlets_full.fcs.fcs,2.1800822671301927,-0.7247865687444488
_d166_BT20_A_full_full_singlets_full.fcs.fcs,4.23772811800929,1.0422528856831095
_d199_BT20_B_full_full_singlets_full.fcs.fcs,4.143105264495907,0.8469459700178944
_d108_BT474_A_full_full_singlets_full.fcs.fcs,4.620973904598942,-2.0245506090188927
_d228_BT474_B_full_full_singlets_full.fcs.fcs,3.6734136340642363,-1.2850864798070445
_a678_BT483_A_full_full_singlets_full.fcs.fcs,1.6079423621726523,-0.3076460958990091
_a913_BT483_B_full_full_singlets_full.fcs.fcs,1.092341719579546,-0.23543953552969737
_b211_MDAMB453_A_full_full_singlets_full.fcs.fcs,2.878312216985533,-0.7877330420521227
_b505_MDAMB453_B_full_full_singlets_full.fcs.fcs,4.578780490040446,-1.0303138381320647
_c124_ZR7530_A_full_full_singlets_full.fcs.fcs,1.6746780916620367,-0.8231704796261499
_c537_ZR7530_B_full_full_singlets_full.fcs.fcs,2.3654643128089288,-0.9390021912144695
_c591_CAL120_A_full_full_singlets_full.fcs.fcs,5.599024966691807,2.113895062739319
_c711_CAL120_B_full_full_singlets_full.fcs.fcs,3.9182374314980923,1.0205505144189122
_d601_CAL148_A_full_full_singlets_full.fcs.fcs,2.7273962960190237,-0.26423355052878744
_d775_HDQP1_A_full_full_singlets_full.fcs.fcs,-0.937926169332354,0.15322803563540452
_d866_CAL148_B_full_full_singlets_full.fcs.fcs,3.7589197516974764,-0.23534722826206778
_e12_HDQP1_B_full_full_singlets_full.fcs.fcs,-0.48353813409240326,-0.050612655254301475
_c562_CAL51_A_full_full_singlets_full.fcs.fcs,3.4809908048075364,2.7177452585212873
_c856_CAL51_B_full_full_singlets_full.fcs.fcs,5.303930008209758,2.3522576684303624
_d369_MACLS2_A_full_full_singlets_full.fcs.fcs,2.232138380567685,1.0729792960954914
_d489_MACLS2_B_full_full_singlets_full.fcs.fcs,4.5326192326535555,0.9018139430047153
_d137_CAMA1_A_full_full_singlets_full.fcs.fcs,6.71381229232386,-1.3640048294486824
_d315_CAMA1_B_full_full_singlets_full.fcs.fcs,6.749859943194705,-0.7127297826914061
_b273_HCC2185_B_full_full_singlets_full.fcs.fcs,2.97525093688768,-0.5893047815887762
_b37_HCC2185_A_full_full_singlets_full.fcs.fcs,2.388061955163307,-0.2353383086729682
_e424_DU4475_A_full_full_singlets_full.fcs.fcs,2.506671062502268,0.23530320847458405
_e462_DU4475_B_full_full_singlets_full.fcs.fcs,1.8361835736710637,0.34743743007497835
_a939_HCC3153_A_full_full_singlets_full.fcs.fcs,5.254338832393931,0.235501520015392
_b302_EFM19_B_full_full_singlets_full.fcs.fcs,2.8569973499302996,-1.7793904423516722
_b331_HCC3153_B_full_full_singlets_full.fcs.fcs,4.697822867108648,0.4840086817996085
_b8_EFM19_A_full_full_singlets_full.fcs.fcs,3.482748229641442,-2.0394487717833814
_d833_HCC1143_A_full_full_singlets_full.fcs.fcs,3.7842183699830048,0.6556042560340255
_e215_EVSAT_B_full_full_singlets_full.fcs.fcs,4.823461489557654,-0.23528487012996688
_e331_HCC1143_B_full_full_singlets_full.fcs.fcs,4.255692736482652,0.23534677427354575
_e37_EVSAT_A_full_full_singlets_full.fcs.fcs,4.159497103287275,-1.0403076145420758
_d1006_EFM192A_A_full_full_singlets_full.fcs.fcs,2.527832218012028,-0.89718067432771
_d340_HBL100_A_full_full_singlets_full.fcs.fcs,4.027962604334008,0.2354521258389505
_d576_HBL100_B_full_full_singlets_full.fcs.fcs,4.485757466004624,0.812460546993908
_e128_EFM192A_B_full_full_singlets_full.fcs.fcs,2.7452521906022302,-0.8975841941415774
_c153_HCC1187_A_full_full_singlets_full.fcs.fcs,1.6750859298525294,3.6877632760576247
_c211_HCC1419_A_full_full_singlets_full.fcs.fcs,5.025311787925332,-1.3275471686566755
_c389_HCC1187_B_full_full_singlets_full.fcs.fcs,0.4839005437805305,2.823170522935327
_c682_HCC1419_B_full_full_singlets_full.fcs.fcs,4.577831637684517,-1.1355218968719851
_c269_HCC1500_A_full_full_singlets_full.fcs.fcs,1.3805418719401328,-0.9764498787277706
_c37_HCC1395_A_full_full_singlets_full.fcs.fcs,4.659659612742108,0.45432636509272273
_c447_HCC1395_B_full_full_singlets_full.fcs.fcs,4.101456339572523,0.23536600723188375
_c653_HCC1500_B_full_full_singlets_full.fcs.fcs,1.2758383479907958,-0.4659957105234415
_e484_HCC2218_A_full_full_singlets_full.fcs.fcs,1.2622512082575759,-0.9783232750548423
_e514_HCC1599_A_full_full_singlets_full.fcs.fcs,1.1284141554254443,0.23529680247428955
_e551_HCC2218_B_full_full_singlets_full.fcs.fcs,0.6665051184323264,-0.6777878780792684
_e580_HCC1599_B_full_full_singlets_full.fcs.fcs,0.6322418751120958,0.6283866990661325
_b588_HCC1806_A_full_full_singlets_full.fcs.fcs,3.2681506912613036,0.23526329608315286
_b737_HCC1806_B_full_full_singlets_full.fcs.fcs,4.018010430016453,1.0112660843372188
_c476_HCC1937_B_full_full_singlets_full.fcs.fcs,4.62363957641498,0.2778001570013365
_c95_HCC1937_A_full_full_singlets_full.fcs.fcs,0.4834459061145721,0.23539781914359023
_c765_BT549_A_full_full_singlets_full.fcs.fcs,4.586331730914889,2.9565775383788018
_c794_HCC1954_A_full_full_singlets_full.fcs.fcs,9.828489212190355,0.2353499448155398
_c943_BT549_B_full_full_singlets_full.fcs.fcs,3.321940035519855,3.003314820049397
_c972_HCC1954_B_full_full_singlets_full.fcs.fcs,9.033049841894323,0.8521384484419706
_d286_Hs578T_B_full_full_singlets_full.fcs.fcs,10.094875316218365,8.738938453013475
_d50_Hs578T_A_full_full_singlets_full.fcs.fcs,10.984396972843188,10.945000248765737
_d717_JIMT1_A_full_full_singlets_full.fcs.fcs,3.412785331800922,0.23535936367953855
_d746_KPL1_A_full_full_singlets_full.fcs.fcs,0.9410405126685143,-0.2353931795182533
_d982_JIMT1_B_full_full_singlets_full.fcs.fcs,4.577554150454921,1.0231728160106823
_e70_KPL1_B_full_full_singlets_full.fcs.fcs,0.48342956204117027,-0.23538184352821867
_a649_MDAMB157_A_full_full_singlets_full.fcs.fcs,0.8770018797718827,0.23537245675212534
_a765_MCF10F_A_full_full_singlets_full.fcs.fcs,-1.7042337042975892,2.403600927521883
_a884_MDAMB157_B_full_full_singlets_full.fcs.fcs,0.4837361207633106,0.7504024291124218
_b127_MCF10F_B_full_full_singlets_full.fcs.fcs,-0.48365584016059965,2.2630085155328494
_a591_MDAMB231_A_full_full_singlets_full.fcs.fcs,0.48382080336269834,0.6961337653599262
_a707_MCF12A_A_full_full_singlets_full.fcs.fcs,-0.4839664966670275,1.0071477908072368
_a739_MDAMB231_B_full_full_singlets_full.fcs.fcs,0.6374692199049933,0.7861133195188297
_a826_MCF12A_B_full_full_singlets_full.fcs.fcs,-1.3377395456745873,1.5439226330904765
_b563_MCF7_B_full_full_singlets_full.fcs.fcs,5.031588120176723,-0.35746926719472377
_b95_MCF7_A_full_full_singlets_full.fcs.fcs,3.2649768085272703,-0.7042941715967559
_a794_MDAkb2_A_full_full_singlets_full.fcs.fcs,3.1035529883059225,-0.3724784167192116
_a852_MDAMB468_A_full_full_singlets_full.fcs.fcs,3.8372289473486423,0.25990563030439506
_b156_MDAkb2_B_full_full_singlets_full.fcs.fcs,2.5221316482723433,-0.6103797260647552
_b185_MDAMB468_B_full_full_singlets_full.fcs.fcs,3.620755179219715,0.4118782941944004
_a997_MDAMB134VI_A_full_full_singlets_full.fcs.fcs,7.78916517281681,-0.6166858544516353
_b360_MDAMB134VI_B_full_full_singlets_full.fcs.fcs,9.074245483723901,-0.2355150555332297
_c414_SKBR3_A_full_full_singlets_full.fcs.fcs,3.727622162507623,-1.693865075337771
_c914_SKBR3_B_full_full_singlets_full.fcs.fcs,1.952622584300105,-1.7578290291586394
_c1001_MDAMB175VII_B_full_full_singlets_full.fcs.fcs,2.37300467106003,-2.6756377897705574
_c881_MDAMB175VII_A_full_full_singlets_full.fcs.fcs,2.4900544866478183,-5.057968764193906
_d659_MCF10A_A_full_full_singlets_full.fcs.fcs,-1.1354131058107981,2.2694333940222693
_d808_MCF10A_B_full_full_singlets_full.fcs.fcs,-0.483506902757235,2.257787030614327
_b646_MDAMB361_A_full_full_singlets_full.fcs.fcs,3.0594409314323854,-0.3977669944047994
_c302_MDAMB361_B_full_full_singlets_full.fcs.fcs,2.791135166717701,-0.23529429733825855
_c356_HCC1569_A_full_full_singlets_full.fcs.fcs,3.566428579289989,1.214453877420741
_c827_HCC1569_B_full_full_singlets_full.fcs.fcs,2.7164957571517268,0.23543394913260693
_b472_MDAMB415_A_full_full_singlets_full.fcs.fcs,4.894597413722192,-0.5982944475508198
_b824_MDAMB415_B_full_full_singlets_full.fcs.fcs,4.492378208023973,-0.2353335694100125
_b530_MDAMB436_A_full_full_singlets_full.fcs.fcs,0.48375926463210667,0.2352935615400898
_b766_MDAMB436_B_full_full_singlets_full.fcs.fcs,0.5679883731617678,0.5737266344232717
_d257_HCC2157_B_full_full_singlets_full.fcs.fcs,3.7284026933741297,5.603779205451917
_d79_HCC2157_A_full_full_singlets_full.fcs.fcs,6.432158494394148,9.680187682235674
_d920_MX1_A_full_full_singlets_full.fcs.fcs,3.184268175791251,0.5412187464991479
_e186_MFM223_B_full_full_singlets_full.fcs.fcs,7.386037821321026,-0.37292870909896403
_e302_MX1_B_full_full_singlets_full.fcs.fcs,4.507749111627203,0.23541212437194786
_e95_MFM223_A_full_full_singlets_full.fcs.fcs,7.399953360405994,-0.9060176621663543
_d398_LY2_A_full_full_singlets_full.fcs.fcs,1.3559305057042306,-1.3722115915643747
_d456_MPE600_A_full_full_singlets_full.fcs.fcs,1.1681024208837558,-0.23530854080864186
_d547_LY2_B_full_full_singlets_full.fcs.fcs,1.1106427866064814,-0.8147917733539942
_d634_MPE600_B_full_full_singlets_full.fcs.fcs,0.8880858733828272,-0.4091796168579987
_d688_OCUBM_A_full_full_singlets_full.fcs.fcs,9.071205642200825,-0.47628290871945916
