,norm_vec_canc,s_vec_canc,norm_vec_LB,s_vec_LB
p-4EBP1,0.2271148850618524,0.6469496721763146,-0.008192593113492188,-0.09061096824026073
p-STAT3,0.024791619132275466,0.1657490801891225,0.2200241381157381,0.49752598274313453
p-SMAD2/3,-0.37447844554509363,-0.0933329531466282,0.36067265046341657,0.003120930386226071
p-MAPKAPK-2,0.07736909911513881,0.15110714035225634,0.032905495451856205,0.11420536473115861
p-SEK/MKK4,0.05889965717535017,-0.042502841921556934,0.18227774877450525,0.16412450902067774
p-CREB,0.35257487507140506,0.16785317530360236,0.07877141283329167,-0.011932330453502648
p-p53,-0.07641675124850263,0.1536215828393985,-0.05301139988576318,-0.005765676117610408
Ki-67,-0.020401443083109348,0.09255333442417366,0.02508776102660303,0.25173280774575346
p-STAT5,-0.16839338494081968,0.055005108639396894,-0.4321210380747412,-0.0024529019104587418
p-FAK,0.32838854826642394,0.15961724873213315,0.12861963141590207,0.13747803793680363
β-CATENIN,0.21695508463507868,0.0596643902738806,-0.3124215006358055,-0.04343345055327497
p-SAPK/JNK,-0.061941377622460554,-0.03684532669224591,-0.27844268156384133,-0.014958174485842192
p-BTK,0.09303678990670879,0.004196886764275626,-0.5084063699411908,-0.009797676700378953
cleaved PARP,-0.0709768193163223,-0.04525991436805481,0.17981341365154613,0.029871371489869535
p-SRC,-0.10689652681828593,0.0410041374591296,0.2798196040564192,0.056692175517204006
Cyclin B1,-0.29271392155820875,-0.43952551433023845,0.050941241715724096,0.3460024065918572
p-MKK3-MKK6,-0.10842520851979537,-0.3268262430391914,0.05604424979356696,0.4742082553631937
GAPDH,0.3562984601688939,0.3384151749941665,-0.04979046703825749,-0.044272945854703295
p-MAP2K3,0.12662257957850806,0.06003279866150383,-0.019226591795291716,-0.012623204703525376
p-MEK1/2,-0.3991171119766618,-0.049198338294475744,-0.03575756061124685,-0.08768051119005449
p-PDPK1,0.14450089441770297,0.001196822153211943,-0.10489674616822176,-0.05748994141106003
p-S6K,0.06275288402134958,0.033712517266431236,0.09004407423486036,-0.01757783334527155
p-RB,0.09408987905708542,0.002546753543948752,-0.003903532869461921,-0.505740883718601
p-AKT(308),-0.14813167198245555,-0.037844945155826544,-0.031259441613044524,-0.04144831276527376
