,norm_vec,s_vec
p-STAT5,-0.48268777051213324,-0.00024296251329991372
β-CATENIN,-0.415426671346083,-0.030813198649557075
p-S6K,-0.3122890188332042,-0.013734620414279997
p-BTK,-0.3113270955593196,-0.005704553158910232
p-SAPK/JNK,-0.16611106557034025,-0.008475797429045574
p-PDPK1,-0.14591201120880004,-0.04212196201497791
p-MAP2K3,-0.14536989183294946,-0.008293845879314175
p-MAPKAPK-2,-0.13994664441154905,0.08856561078445481
p-MEK1/2,-0.05453608083178331,-0.0661840691139662
p-GSK3β,-0.050896354348644764,0.06390218545916428
GAPDH,-0.035264145035384865,-0.03175402475897469
p-RB,-0.012502939129416413,-0.3725337744361097
p-4EBP1,0.0016623095932071323,-0.06857162227230183
p-AKT(473),0.005308401310646282,0.20172644588856853
p-S6,0.014390849921500026,0.6103682546423451
p-p53,0.031784813996541456,-0.003761841890463672
p-SEK/MKK4,0.05755686079319576,0.12577937293552496
p-MKK3-MKK6,0.06560923242991004,0.3555497342515498
p-p90RSK,0.07127024040236518,0.08467574197390318
Ki-67,0.07838290882896934,0.18782019157203422
p-FAK,0.10273812879918795,0.10319346250442488
Cyclin B1,0.10839040943720912,0.2717143401662902
p-SRC,0.12409498113642493,0.04205924049787359
p-AKT(308),0.13123534302945875,-0.028806827689931033
p-CREB,0.1588024781295836,-0.0074596103236220564
p-STAT3,0.18791382488222705,0.3717460381500566
p-p38,0.1972691779627157,0.11045978996697549
cleaved PARP,0.21813959098718363,0.025408102800427143
p-SMAD2/3,0.28526180691577707,0.0011227520811120145
