,norm_vec,s_vec
p-STAT5,-0.4990089035405442,-0.0018219541083240962
β-CATENIN,-0.4417629785608745,-0.03226127931851673
p-BTK,-0.3289399515245364,-0.007277468878871315
p-S6K,-0.2813806634204372,-0.013056374387537201
p-SAPK/JNK,-0.1335749780511604,-0.01111055739379833
p-PDPK1,-0.11993250818916053,-0.04270208869526521
p-MAPKAPK-2,-0.08816941751166117,0.08482888474968682
p-GSK3β,-0.07326879704814938,0.06314038886237065
p-MAP2K3,-0.06642719385786457,-0.009376200316751937
p-MEK1/2,-0.05574395667050882,-0.06512688783091361
GAPDH,-0.04254732090977043,-0.032884835403998856
p-RB,-0.010418607250893238,-0.3756516625918663
p-4EBP1,0.00031637559218580086,-0.06730355793709462
p-S6,0.01402518681257158,0.6214506540189757
p-AKT(473),0.018694645360913833,0.19798495587172513
p-p53,0.03189103961170058,-0.004282599823888621
p-p90RSK,0.05454032987368123,0.08370320764381617
p-SEK/MKK4,0.05816747915175486,0.12190757494700742
Ki-67,0.06135061608342044,0.18698082516743228
p-MKK3-MKK6,0.06868202611202753,0.35223001595632986
p-AKT(308),0.07418535206878284,-0.030786768685614176
Cyclin B1,0.08838775940648387,0.25700192229137186
p-FAK,0.10447179105981734,0.1021152435632688
cleaved PARP,0.13677265212773224,0.02218770664052604
p-CREB,0.13988354530136546,-0.008863036226171263
p-SRC,0.14536622763379223,0.0421095281686521
p-STAT3,0.18633341359339714,0.36954983988223644
p-p38,0.20310974924157763,0.10905719190694352
p-SMAD2/3,0.37099865090351836,0.0023181489299403503
