Cell line,Type,ER,PR,HER2,PI3K,p53,RAS
184A1,Normal,,,,,,
184B5,Normal,,,,,,
AU565,L,,,,,TP53_R175H,
BT20,B,neg,neg,neg,PIK3CA_P539R,TP53_K132Q,?
BT474,L,pos,pos,pos,,,
BT483,L,pos,pos/neg,neg,,,
BT549,B,neg,neg,neg,,,
CAL120,B,neg,neg,neg,,?,
CAL148,L,neg,neg,neg,,,
CAL51,B,neg,neg,neg,PIK3CA_E542K,,
CAL851,B,neg,neg,neg,,TP53_K132E,
CAMA1,L,pos,pos/neg,neg,,TP53_R280T,
DU4475,B,,,,,,
EFM19,L,pos,pos,neg,,,
EFM192A,L,pos,pos,pos,PIK3CA_C420R,TP53_E271*,
EVSAT,L,,,,,TP53_S241C,?
HBL100,B,,,,,,
HCC1143,B,neg,neg,neg,,,
HCC1187,B,neg,neg,neg,,,
HCC1395,B,neg,neg,neg,,,
HCC1419,L,,,,,,HRAS_R128W
HCC1428,L,pos,pos,neg,,,
HCC1500,L,,,,,,
HCC1569,B,neg,neg,pos,?,TP53_D228Tfs*19,
HCC1599,B,neg,neg,neg,,,
HCC1806,B,neg,neg,neg,,,
HCC1937,B,neg,neg,neg,,,
HCC1954,B,neg,neg,pos,,,
HCC202,L,neg,neg,pos,PIK3CA_E545K,TP53_T284Rfs*21,
HCC2157,B,neg,neg,neg,,,
HCC2185,L,,,,,,
HCC2218,L,neg,neg,pos,,,
HCC3153,B,neg,neg,neg,,,
HDQP1,Normal,neg,neg,neg,,TP53_R213*,
Hs578T,B,neg,neg,neg,,TP53_V157F,HRAS_G12D
JIMT1,B,,,,PIK3CA_C420R,TP53_R248W,
KPL1,L,pos,neg,neg,,,
LY2,L,pos,neg,neg,,,
MACLS2,B,,,,,,
MCF10A,Normal,,,,,,
MCF10F,Normal,,,,,,
MCF12A,Normal,,,,,,
MCF7,L,pos,pos,neg,PIK3CA_E545K,,
MDAkb2,L,,,,,,
MDAMB134VI,L,pos,neg,neg,,,
MDAMB157,B,,,,,,
MDAMB175VII,L,pos,neg,neg,,,
MDAMB231,B,neg,neg,neg,,TP53_R280K,KRAS_G13D
MDAMB361,L,pos,pos/neg,pos,PIK3CA_K567R,TP53_E56*,
MDAMB415,L,pos,pos/neg,neg,,TP53_Y236C,
MDAMB436,B,neg,neg,neg,,TP53_E204Afs*7,
MDAMB453,L,neg,neg,pos,PIK3CA_H1047R,,
MDAMB468,B,neg,neg,neg,?,TP53_R273H,
MFM223,L,neg,neg,neg,,,
MPE600,L,,,,,,
MX1,B,,,,,,
OCUBM,L,,,,PIK3CA_H1047R,TP53_G244S,
SKBR3,L,neg,neg,pos,,,
T47D,L,pos,pos,neg,,,
UACC3199,B,,,,,,
UACC812,L,pos,pos/neg,pos,,,
UACC893,L,neg,neg,pos,,,
ZR751,L,pos,pos/neg,neg,,,
ZR7530,L,pos,neg,pos,,,
ZR75B,L,pos,neg,neg,,,
